Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25812847,The Silk Roads: A New History of the World,Peter Frankopan,"Frankopan, Peter",,"=""1408839970""","=""9781408839973""",0,4.17,Bloomsbury,Hardcover,636,2015,2015,,2025/06/29,to-read,to-read (#339),to-read,,,,0,0
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465067107""","=""9780465067107""",0,4.15,Basic Books,Paperback,257,2002,1988,,2025/06/29,to-read,to-read (#338),to-read,,,,0,0
208430658,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""0593873351""","=""9780593873359""",0,4.38,Del Rey,Hardcover,430,2024,2023,,2025/06/27,to-read,to-read (#337),to-read,,,,0,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",0,4.01,Flatiron Books,Hardcover,461,2019,2019,,2025/06/27,to-read,to-read (#336),to-read,,,,0,0
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0812993012""","=""9780812993011""",0,4.21,Random House,Hardcover,368,2014,2014,,2025/06/24,to-read,to-read (#335),to-read,,,,0,0
220707611,Rio de Janeiro (Ten Moments That Shaped),Bryan McCann,"McCann, Bryan",,"=""1009012045""","=""9781009012041""",0,0.0,Cambridge University Press,Paperback,325,2025,,,2025/06/19,to-read,to-read (#334),to-read,,,,0,0
176443453,Greta & Valdin,Rebecca K. Reilly,"Reilly, Rebecca K.",,"=""1668028042""","=""9781668028049""",0,3.93,Avid Reader Press / Simon & Schuster,Hardcover,352,2024,2021,,2025/06/15,to-read,to-read (#333),to-read,,,,0,0
6232657,A Mathematician's Lament: How School Cheats Us Out of Our Most Fascinating and Imaginative Art Form,Paul  Lockhart,"Lockhart, Paul",Keith Devlin,"=""1934137170""","=""9781934137178""",0,4.22,Bellevue Literary Press,Paperback,140,2009,2009,,2025/06/12,to-read,to-read (#332),to-read,,,,0,0
722412,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""014200135X""","=""9780142001356""",0,4.55,Penguin Books,Paperback,512,2002,2001,,2025/06/11,to-read,to-read (#331),to-read,,,,0,0
21480734,Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,"Rudder, Christian",,"=""0385347375""","=""9780385347372""",0,3.73,Crown,Hardcover,304,2014,2014,,2025/05/22,to-read,to-read (#330),to-read,,,,0,0
