Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Neverwhere,Neil Gaiman,,9780060557812,paperback,read,2014/06/04,2023/06/07,2023/05/23-2023/06/07,1,,,,,,,,,,,,,No
Min kamp 1,Karl Ove Knausgård,,9788252574586,hardcover,to-read,2015/04/08,,,0,,,,,,,,,,,,,No
La rebelión de los buenos,Roberto Santiago,,,digital,read,2024/09/02,2024/09/02,2024/08/29-2024/09/02,1,,,,,,,,,,,,,No
Opus Nigrum,Marguerite Yourcenar,Emma Calatayud,9789505118670,paperback,to-read,2018/10/12,,,0,,,,,,,,,,,,,No
El silencio de la ciudad blanca,Eva García Sáenz de Urturi,,,digital,to-read,2018/11/04,,,0,,,,,,,,,,,,,No
El guardián invisible,Dolores Redondo,,9788423360734,hardcover,read,2025/06/11,2025/06/11,2025/05/26-2025/06/11,2,,,,,,,,,,,,,No
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,,9780857197689,paperback,read,2022/08/06,2022/08/06,2022/08/06,1,,,,,,,,,,,,,No
Wanderers: A History of Women Walking,Kerri Andrews,,9781789143423,hardcover,to-read,2021/07/11,,,0,,,,,,,,,,,,,No
"El cielo es azul, la tierra blanca",Hiromi Kawakami,Marina Bornas Montaña (Translator),9788420423883,paperback,to-read,2019/01/31,,,0,,,,,,,,,,,,,No
Outline,Rachel Cusk,,9780571233625,hardcover,to-read,2021/07/10,,,0,,,,,,,,,,,,,No
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,,9780062641540,paperback,to-read,2021/12/31,,,0,,,,,,,,,,,,,No
The Island of Missing Trees,Elif Shafak,,9780241434994,hardcover,read,2023/02/04,2023/02/04,2023/02/04,1,,,,,,,,4,,,,,No
"In Pursuit of the Common Good: Twenty-Five Years of Improving the World, One Bottle of Salad Dressing at a Time","A. E. Hotchner, Paul Newman",,9780767929974,paperback,to-read,2020/06/25,,,0,,,,,,,,,,,,,No
Dune,Frank Herbert,,9780593099322,hardcover,to-read,2021/03/02,,,0,,,,,,,,,,,,,No
